Date,Value
2/17/2020,109.8754038
2/14/2020,109.8598045
2/13/2020,109.699089
2/12/2020,109.9780099
2/11/2020,109.8339602
2/10/2020,109.7434024
2/7/2020,109.8641626
2/6/2020,109.8518586
2/5/2020,109.7160483
2/4/2020,109.0876177
2/3/2020,108.5306344
1/31/2020,108.8943178
1/30/2020,108.831263
1/29/2020,109.1355331
1/28/2020,109.0595184
1/27/2020,108.9433107
1/24/2020,109.6148618
1/23/2020,109.5482824
1/22/2020,109.9657287
1/21/2020,110.0404858
1/20/2020,110.1849346
1/17/2020,110.1098308
1/16/2020,109.9471752
1/15/2020,109.8815293
1/14/2020,110.0494827
1/13/2020,109.8777638
1/10/2020,109.6384456
1/9/2020,109.3969397
1/8/2020,108.7359424
1/7/2020,108.4407447
1/6/2020,108.1114883
1/3/2020,108.1367184
1/2/2020,108.7733405
12/31/2019,108.5454869
12/30/2019,109.2054697
12/27/2019,109.5938313
12/24/2019,109.3772563
12/23/2019,109.4176072
12/20/2019,109.3178336
12/19/2019,109.4989655
12/18/2019,109.5906433
12/17/2019,109.5771367
12/16/2019,109.4293917
12/13/2019,109.5668516
12/12/2019,108.6019574
12/11/2019,108.7494357
12/10/2019,108.5763293
12/9/2019,108.4875847
12/6/2019,108.5631873
12/5/2019,108.7885343
12/4/2019,108.6995759
12/3/2019,108.7435643
12/2/2019,109.5436814
11/29/2019,109.6612639
11/28/2019,109.4956838
11/27/2019,109.1652284
11/26/2019,108.9745917
11/25/2019,108.9026163
11/22/2019,108.5458492
11/21/2019,108.6105852
11/20/2019,108.4727371
11/19/2019,108.7478559
11/18/2019,108.9865292
11/15/2019,108.7094435
11/14/2019,108.6569064
11/13/2019,108.8406324
11/12/2019,109.160236
11/11/2019,108.9484648
11/8/2019,109.4072866
11/7/2019,109.1450754
11/6/2019,108.9990983
11/5/2019,108.857683
11/4/2019,108.3796379
11/1/2019,108.1156298
10/31/2019,108.2391967
10/30/2019,108.9411129
10/29/2019,108.9499775
10/28/2019,108.8572202
10/25/2019,108.5711713
10/24/2019,108.6089145
10/23/2019,108.4509575
10/22/2019,108.5983827
10/21/2019,108.5563412
10/18/2019,108.551687
10/17/2019,108.7105192
10/16/2019,108.7528345
10/15/2019,108.3219769
10/14/2019,108.2404134
10/11/2019,108.4397356
10/10/2019,107.4524025
10/9/2019,107.3763774
10/8/2019,106.890588
10/7/2019,106.8316201
10/4/2019,106.7765735
10/3/2019,106.994795
10/2/2019,107.5240275
10/1/2019,108.276748
9/30/2019,107.9897144
9/27/2019,108.1024234
9/26/2019,107.6339367
9/25/2019,107.4485522
9/24/2019,107.6524584
9/23/2019,107.4829313
9/20/2019,107.9873073
9/19/2019,107.9425319
9/18/2019,108.151633
9/17/2019,108.1353165
9/16/2019,107.8415375
9/13/2019,107.9938717
9/12/2019,107.7624738
9/11/2019,107.706989
9/10/2019,107.3550725
9/9/2019,106.9609354
9/6/2019,107.0191349
9/5/2019,106.6829445
9/4/2019,106.2170993
9/3/2019,106.1077078
9/2/2019,106.3639679
8/30/2019,106.2703878
8/29/2019,106.2861272
8/28/2019,105.7294956
8/27/2019,105.754683
8/26/2019,105.8564232
8/23/2019,106.452779
8/22/2019,106.5866643
8/21/2019,106.4841499
8/20/2019,106.3470567
8/19/2019,106.5838062
8/16/2019,106.3289996
8/15/2019,106.161435
8/14/2019,105.8991777
8/13/2019,105.1595081
8/12/2019,105.1366804
8/9/2019,105.8313985
8/8/2019,105.9948182
8/7/2019,105.7668274
8/6/2019,106.4628587
8/5/2019,106.072259
8/2/2019,106.7621106
8/1/2019,108.8882849
7/31/2019,108.5463187
7/30/2019,108.4812623
7/29/2019,108.6518572
7/26/2019,108.6909679
7/25/2019,108.097166
7/24/2019,108.0879713
7/23/2019,108.1356842
7/22/2019,107.917967
7/19/2019,107.7231427
7/18/2019,107.7835235
7/17/2019,108.2657156
7/16/2019,107.9301435
7/15/2019,107.9243944
7/12/2019,108.2644628
7/11/2019,108.0549402
7/10/2019,108.912656
7/9/2019,108.8174922
7/8/2019,108.6045475
7/5/2019,108.1438721
7/4/2019,107.7693125
7/3/2019,107.6861773
7/2/2019,108.2736041
7/1/2019,108.3179135
6/28/2019,107.7328647
6/27/2019,107.8627968
6/26/2019,107.7275128
6/25/2019,107.1039691
6/24/2019,107.2933123
6/21/2019,107.4938141
6/20/2019,107.6412842
6/19/2019,108.4054609
6/18/2019,108.2327702
6/17/2019,108.6523055
6/14/2019,108.2112739
6/13/2019,108.4595624
6/12/2019,108.3811711
6/11/2019,108.7367491
6/10/2019,108.6452526
6/7/2019,108.4626985
6/6/2019,108.1306586
6/5/2019,108.3414764
6/4/2019,108.1643543
6/3/2019,108.3325883
5/31/2019,108.7525782
5/30/2019,109.664092
5/29/2019,109.2775188
5/28/2019,109.4085061
5/27/2019,109.4481157
5/24/2019,109.6004291
5/23/2019,110.0278301
5/22/2019,110.3482231
5/21/2019,110.4470926
5/20/2019,109.8504522
5/17/2019,109.5059076
5/16/2019,109.6224226
5/15/2019,109.3087722
5/14/2019,109.5670764
5/13/2019,109.4353046
5/10/2019,109.7506679
5/9/2019,109.8097025
5/8/2019,110.0785574
5/7/2019,110.6213679
5/6/2019,110.8402536
5/3/2019,111.519498
5/2/2019,111.4966108
4/30/2019,111.3656623
4/29/2019,111.7847534
4/26/2019,111.784784
4/25/2019,111.8852827
4/24/2019,111.8208582
4/23/2019,111.8897288
4/18/2019,111.8755556
4/17/2019,111.9458455
4/16/2019,111.9770013
4/15/2019,111.9596924
4/12/2019,111.9689073
4/11/2019,111.2393466
4/10/2019,111.1623371
4/9/2019,111.2973309
4/8/2019,111.4707452
4/5/2019,111.6709695
4/4/2019,111.4270434
4/3/2019,111.4471227
4/2/2019,111.3660714
4/1/2019,110.9647561
3/29/2019,110.7699154
3/28/2019,110.6792655
3/27/2019,110.4875233
3/26/2019,110.4596581
3/25/2019,110.0662252
3/22/2019,110.2459742
3/21/2019,110.5822429
3/20/2019,111.5289766
3/19/2019,111.4544814
3/18/2019,111.4988105
3/15/2019,111.5670322
3/14/2019,111.6334661
3/13/2019,111.3775104
3/12/2019,111.1042129
3/11/2019,111.0903593
3/8/2019,111.1388344
3/7/2019,111.7647059
3/6/2019,111.8089341
3/5/2019,111.9251479
3/4/2019,111.9431948
3/1/2019,111.877361
2/28/2019,110.7568325
2/27/2019,110.5743896
2/26/2019,110.8441158
2/25/2019,110.7441656
2/22/2019,110.8697572
2/21/2019,110.709882
2/20/2019,110.7476636
2/19/2019,110.7579246
2/18/2019,110.5490819
2/15/2019,110.5239787
2/14/2019,111.0401136
2/13/2019,110.7386112
2/12/2019,110.3930595
2/11/2019,110.2042621
2/8/2019,109.7919972
2/7/2019,109.6606435
2/6/2019,109.750746
2/5/2019,109.9448481
2/4/2019,109.890782
2/1/2019,108.8919885
1/31/2019,108.6438022
1/30/2019,109.440896
1/29/2019,109.4641919
1/28/2019,109.4237169
1/25/2019,109.9242024
1/24/2019,109.7169562
1/23/2019,109.7035278
1/22/2019,109.432799
1/21/2019,109.6637916
1/18/2019,109.4369409
1/17/2019,108.7662338
1/16/2019,108.7979629
1/15/2019,108.5609244
1/14/2019,108.0753466
1/11/2019,108.3065985
1/10/2019,108.1057651
1/9/2019,108.8607595
1/8/2019,108.7937063
1/7/2019,108.2568807
1/4/2019,108.0417434
1/3/2019,107.6929855
1/2/2019,109.0462402
12/31/2018,109.9126638
12/28/2018,110.3544613
12/27/2018,110.8728136
12/24/2018,110.8607994
12/21/2018,111.2493429
12/20/2018,111.7282333
12/19/2018,112.3279263
12/18/2018,112.3846357
12/17/2018,113.2527996
12/14/2018,113.5400975
12/13/2018,113.4992525
12/12/2018,113.4056055
12/11/2018,113.1470252
12/10/2018,112.726477
12/7/2018,112.8836514
12/6/2018,112.8006343
12/5/2018,113.0086313
12/4/2018,112.7881497
12/3/2018,113.572185
11/30/2018,113.5575315
11/29/2018,113.2782998
11/28/2018,113.8514711
11/27/2018,113.5769774
11/26/2018,113.2623427
11/23/2018,112.8171247
11/22/2018,112.9527317
11/21/2018,113.1036901
11/20/2018,112.3719464
11/19/2018,112.7942592
11/16/2018,113.1411951
11/15/2018,113.3657674
11/14/2018,113.8810198
11/13/2018,113.9508037
11/12/2018,113.8038171
11/9/2018,113.9256126
11/8/2018,113.7079832
11/7/2018,113.1888221
11/6/2018,113.1519076
11/5/2018,113.289358
11/2/2018,112.8930542
11/1/2018,112.806109
10/31/2018,113.2267185
10/30/2018,112.8033767
10/29/2018,112.3978561
10/26/2018,112.0581754
10/25/2018,112.3598458
10/24/2018,112.7140223
10/23/2018,112.1798223
10/22/2018,112.7805812
10/19/2018,112.510898
10/18/2018,112.5076054
10/17/2018,112.254987
10/16/2018,112.1256581
10/15/2018,111.8469908
10/12/2018,112.3120788
10/11/2018,112.3110151
10/10/2018,113.2434783
10/9/2018,113.2050721
10/8/2018,113.3559854
10/5/2018,113.8797149
10/4/2018,114.1627543
10/3/2018,113.8465535
10/2/2018,113.8872044
10/1/2018,113.9496812
9/28/2018,113.3638563
9/27/2018,112.8811822
9/26/2018,112.9845787
9/25/2018,112.7451813
9/24/2018,112.5966194
9/21/2018,112.6286249
9/20/2018,112.1420681
9/19/2018,112.2310791
9/18/2018,112.1740617
9/17/2018,112.0640905
9/14/2018,111.8573017
9/13/2018,111.6006885
9/12/2018,111.4630988
9/11/2018,111.3011923
9/10/2018,111.088065
9/7/2018,110.8394318
9/6/2018,111.3546502
9/5/2018,111.5265066
9/4/2018,111.2264314
9/3/2018,111.1465242
8/31/2018,110.7630246
8/30/2018,111.4608279
8/29/2018,111.2607204
8/28/2018,111.0418446
8/27/2018,111.0289693
8/24/2018,111.2961685
8/23/2018,110.8126781
8/22/2018,110.261708
8/21/2018,110.424274
8/20/2018,110.5516637
8/17/2018,110.3941708
8/16/2018,110.8355321
8/15/2018,111.0060949
8/14/2018,110.8364019
8/13/2018,110.5937034
8/10/2018,110.9200419
8/9/2018,111.1360304
8/8/2018,111.070843
8/7/2018,111.0842958
8/6/2018,111.4788183
8/3/2018,111.5809458
8/2/2018,111.4143066
8/1/2018,111.8416553
7/31/2018,111.4860259
7/30/2018,111.083533
7/27/2018,111.1827957
7/26/2018,110.8825538
7/25/2018,111.0350727
7/24/2018,111.105416
7/23/2018,111.1130079
7/20/2018,112.2022279
7/19/2018,113.0307214
7/18/2018,112.755146
7/17/2018,112.5907577
7/16/2018,112.3293515
7/13/2018,112.5483123
7/12/2018,112.4806999
7/11/2018,111.2313592
7/10/2018,111.243917
7/9/2018,110.4504199
7/6/2018,110.5851245
7/5/2018,110.6243061
7/4/2018,110.4964783
7/3/2018,110.6643806
7/2/2018,110.7139789
6/29/2018,110.6879396
6/28/2018,110.1873435
6/27/2018,110.261708
6/26/2018,109.621316
6/25/2018,109.5811966
6/22/2018,110.1476648
6/21/2018,110.5824233
6/20/2018,110.0276386
6/19/2018,109.9185018
6/18/2018,110.4538018
6/15/2018,110.6502242
6/14/2018,110.1023018
6/13/2018,110.5321319
6/12/2018,110.307092
6/11/2018,109.9406277
6/8/2018,109.4435937
6/7/2018,110.0540723
6/6/2018,110.1317467
6/5/2018,109.7044968
6/4/2018,109.4317117
6/1/2018,109.4695347
5/31/2018,108.8383623
5/30/2018,108.9752407
5/29/2018,108.9115764
5/28/2018,109.3524562
5/25/2018,109.3961456
5/24/2018,109.5327422
5/23/2018,109.8479672
5/22/2018,110.8190605
5/21/2018,111.267965
5/18/2018,110.932858
5/17/2018,110.6819144
5/16/2018,110.1748133
5/15/2018,110.0479677
5/14/2018,109.5011678
5/11/2018,109.3011564
5/10/2018,109.6312511
5/9/2018,109.6388585
5/8/2018,109.0564448
5/7/2018,109.3513695
5/4/2018,108.9230512
5/3/2018,109.2645097
5/2/2018,109.8026151
4/30/2018,109.3799156
4/27/2018,109.3206297
4/26/2018,109.1962525
4/25/2018,109.1752154
4/24/2018,108.8348481
4/23/2018,108.1712698
